customer_id,latent_0,latent_1,latent_2,latent_3
34592,-0.12247933,-0.00981776,0.23613335,-0.09597713
21335,-0.124184355,-0.14366895,0.22628036,-0.015429157
28627,-0.059733022,-0.28789535,0.19963695,-0.09488998
17642,-0.015277807,-0.22545213,0.2992263,-0.041578975
23208,-0.23325945,-0.1602001,0.20530142,-0.26894826
48259,-0.3472343,0.2747255,0.19632302,0.10198883
29207,-0.1287143,-0.08637684,0.17976898,-0.1228735
34391,0.011348331,-0.3128925,0.3022561,-0.106148444
22301,-0.36923224,0.16664706,0.1518926,0.122957475
41984,-0.12545833,-0.0073772254,0.20113502,-0.11219078
28540,-0.1104925,-0.13994767,0.13116102,-0.093415454
29573,-0.010617125,-0.25681326,0.26832977,-0.017533435
13506,-0.117087804,-0.055284765,0.09696804,-0.08428572
34540,-0.09826937,-0.102088876,0.18829934,-0.112349026
44552,-0.0019476993,-0.33711168,0.14935097,-0.12293353
40461,-0.22324117,-0.0675965,0.18624304,-0.03965363
6629,-0.12575805,-0.07249514,0.2613886,-0.12678075
22914,-0.14207649,-0.08038442,0.1503366,-0.064877644
21878,-0.13526514,-0.06508304,0.27344006,0.82161987
39703,0.1049452,-0.09157437,0.274556,-0.073126614
41077,-0.4365792,0.18657756,0.14893028,0.2137624
23538,-0.10583661,0.02218789,0.0722245,0.6949957
10776,0.05837766,-0.31446692,0.14253083,-0.14645611
36628,-0.2886872,-0.3705174,-0.13562575,-0.3006409
28688,0.1767527,-0.24899563,0.15712333,-0.13485137
30647,-0.20014936,-0.53756154,-0.4128911,-0.3022113
40267,-0.4944036,0.18067703,0.2038843,0.20362917
26317,-0.36138195,0.24006122,0.13157189,0.13174696
40469,-0.11034802,-0.17417856,0.17948847,-0.055638175
16348,-0.07246661,-0.21687472,0.26455393,-0.047573365
17727,-0.43771178,0.20292151,0.09956014,0.18992034
10271,-0.1498785,-0.18090318,0.22893572,-0.04968673
5338,0.1043727,-0.1779938,0.16562124,-0.113962196
14456,-0.016975645,-0.19867523,0.16702582,-0.13255301
17042,0.052057017,-0.2362537,0.2544526,-0.123203106
39959,0.02946927,-0.3064069,0.16787906,-0.23460896
18565,0.11391813,-0.25966182,0.13015716,-0.10947611
26957,-0.10629547,-0.19482952,0.15315694,-0.11063144
31437,0.0017448141,-0.21822256,0.29017112,-0.20566943
39168,-0.07117768,0.13484448,0.2776117,0.6872171
5499,-0.5088007,0.22459252,0.047645308,0.17777377
40168,0.22654735,-0.22004382,0.30487737,0.2855488
13803,-0.021059938,-0.285416,0.21302363,-0.042039014
15858,-0.11928502,-0.046905473,0.24236248,0.0008206588
26159,-0.07100628,-0.115572415,0.17640024,-0.15502524
44390,0.24148326,-0.17384651,0.23526505,0.21017826
30626,-0.18591747,-0.10405487,0.2149157,-0.056257185
13597,0.13188894,-0.14740498,0.21956992,-0.23907888
28137,0.08025856,-0.352353,0.14460103,-0.04530273
20894,-0.01871644,-0.40838912,0.11239189,-0.12286192
1350,-0.0067737284,-0.27774987,0.20771624,-0.081238195
20116,-0.050016,-0.14847744,0.2557228,0.7012018
48048,0.25792372,-0.21487615,0.33079007,0.3164866
24173,-0.45522943,0.1038901,0.15393916,0.14006206
5715,-0.09343034,-0.09352471,0.16007726,-0.08621772
48086,0.40044838,-0.029794699,0.30175942,0.77534294
17715,0.15334381,-0.12688929,0.2986539,-0.1079257
12267,-0.13573197,-0.13167298,0.17560007,0.6953629
1224,-0.19626558,-0.24266197,0.087499954,-0.24058364
27752,0.08811992,-0.30158988,0.14140171,-0.13506211
48406,0.026145762,-0.2697036,0.10753129,-0.05641992
33738,-0.47118568,0.18141039,0.11833318,0.13741823
12610,0.11523301,-0.24364191,0.20585375,0.3117128
27379,0.14495657,-0.26317707,0.13395019,-0.16911134
6228,-0.002987346,-0.34515324,0.19692945,-0.08376275
